Tr;Time;RI_mz;N;mean;sd;se
210;F;6;X.Galactinol..9TMS.;5;0.152802230332901;0.163979881490357;0.0733340323909594
211;M;2;X.Pyruvic.acid..1TMS.;4;0.457251933293907;0.04806176172381;0.024030880861905
212;M;2;X.Lactic.Acid..2TMS.;4;0.383926248767564;0.154525190655592;0.0772625953277959
213;M;2;X.Valine..1TMS.;4;0.494277059458007;0.282817445774479;0.141408722887239
214;M;2;X.Alanine..2TMS.;4;0.0179169782995206;0.0156161346696153;0.00780806733480767
215;M;2;X.Leucine..2TMS.;4;0.223402101013082;0.0618513801440175;0.0309256900720088
216;M;2;X.Threonine..2TMS.;4;0.482014942464367;0.137867709302808;0.0689338546514039
217;M;2;X.Proline..2TMS.;4;0.105952424091883;0.0402030471645813;0.0201015235822906
218;M;2;X.Succinic.acid..2TMS.;4;0.214662835546459;0.0725320009977932;0.0362660004988966
219;M;2;X.Glycine..3TMS.;4;0.478947778026702;0.0900039084471337;0.0450019542235668
220;M;2;X.Fumaric.acid..2TMS.;4;0.0542186591906616;0.0231420189888825;0.0115710094944412
221;M;2;X.Serine..3TMS.;4;0.129406479327304;0.137706682225013;0.0688533411125063
222;M;2;X.Methionine..1TMS.;4;0.487971271329972;0.12513561528847;0.0625678076442349
223;M;2;X.Aspartic.acid..2TMS.;4;0.130973288789008;0.08942559849644;0.04471279924822
224;M;2;X.Glutamine...H2O...2TMS.;4;0.35074159304868;0.442508565716846;0.221254282858423
225;M;2;X.Malic.acid..3TMS.;4;0.0106060463001724;0.00885522133680743;0.00442761066840371
226;M;2;X.Glutamic.acid..2TMS.;4;0.46901721178103;0.174721259184246;0.087360629592123
227;M;2;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;4;0.0822343403033991;0.0295269275772744;0.0147634637886372
228;M;2;X.Threonic.acid..4TMS.;4;0.124802598259472;0.0292292715964051;0.0146146357982026
229;M;2;X.Phenylalanine..2TMS.;4;0.409805728280333;0.27900246155843;0.139501230779215
230;M;2;X.Asparagine..3TMS.;4;0.237829797641399;0.0816402590012195;0.0408201295006097
231;M;2;X.Putrescine..4TMS.;4;0.380093192894172;0.181410830758753;0.0907054153793767
232;M;2;X.Ornithine..4TMS.;4;0.464036763097196;0.178037902590648;0.0890189512953238
233;M;2;X.Citric.acid..4TMS.;4;0.0320209960332794;0.0308331819295843;0.0154165909647922
234;M;2;X.Fructose..1MEOX...5TMS..MP;4;0.0176589839233981;0.00703367121676642;0.00351683560838321
235;M;2;X.Galactose..1MEOX...5TMS..MP;4;0.0318095410373102;0.00834034945936095;0.00417017472968048
236;M;2;X.Lysine..4TMS.;4;0.474898558531596;0.227953265357404;0.113976632678702
237;M;2;X.Tyrosine..3TMS.;4;0.131189120937641;0.0652205184335506;0.0326102592167753
238;M;2;X.Glucose..1MEOX...5TMS..BP;4;0.167850726267116;0.104449867834123;0.0522249339170616
239;M;2;X.Gluconic.acid..6TMS.;4;0.00639364064932503;0.00216906458166525;0.00108453229083262
240;M;2;X.myo.Inositol..6TMS.;4;0.145536240788316;0.110062785045752;0.0550313925228762
241;M;2;X.Sucrose..8TMS.;4;0.0142517919774762;0.00583757869919458;0.00291878934959729
242;M;2;X.Trehalose..8TMS.;4;0.107196109574981;0.0448368464261104;0.0224184232130552
243;M;2;X.Maltose..1MEOX...8TMS..MP;4;0.151100258484406;0.0465732812980042;0.0232866406490021
244;M;2;X.Melibiose..1MEOX...8TMS..BP;4;0.268265840079956;0.117052221637076;0.0585261108185381
245;M;2;X.Galactinol..9TMS.;4;0.063330555418855;0.017847376283214;0.00892368814160698
246;M;4;X.Pyruvic.acid..1TMS.;5;0.556852953127418;0.271050542935217;0.121217487868274
247;M;4;X.Lactic.Acid..2TMS.;5;0.559103503410579;0.0905035367799457;0.0404744120888222
248;M;4;X.Valine..1TMS.;5;0.414310575048327;0.103813087008836;0.0464266239011717
